"name","address","phone","abbreviation"
"CÔNG TY TNHH VIỆT NAM BLS","Số 7 Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","0838235301","BLS"
"CÔNG TY TNHH KHO VẬN SÀI GÒN","102 Le Thi Rieng Street, Thoi An Ward, District 12, Ho Chi Minh City","0918199446","SGL"
"GATEWAY LOGISTICS CO., LTD","Số 40 Nguyễn Văn Giai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","0838227815","GATE"
"CÔNG TY TNHH GIAO NHẬN NĂM SAO VÀNG","119 (lầu 2) Điện Biên Phủ, Phường Đa Kao, Quận 1, TP Hồ Chí Minh","","FGS"
"CÔNG TY TNHH GIAO NHẬN SKY QUEEN","22 đường N7 ,Khu phố 3, Phường Cát Lái, Thành phố Thủ Đức, TP Hồ Chí Minh","","SQN"
"CÔNG TY TNHH GIAO NHẬN VẬN CHUYỂN QUỐC TẾ XANH","105/45 Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh","","GFL"
"HKT","Quận 1, HCM","0987654321","HKT"
